,muon_eta,muon_id,muon_iso,muon_phi,muon_pt,passes_trigger
0,-1.3644546,1.0,3.106402,0.5512649,4.516479,0
1,-1.8464085,0.0,0.0,3.1090386,1.0361298,0
2,1.6178421,0.0,12.674729,-2.8063116,2.6731296,0
3,-1.6109986,0.0,24.143774,1.1874408,1.2117102,0
4,-0.63038224,1.0,111.184525,3.015921,15.549014,0
5,0.8686468,1.0,0.6081645,-0.84730476,71.12199,1
6,2.2163672,0.0,0.0,0.69698876,0.6909276,0
7,1.0654554,1.0,0.0,-2.5532286,86.87446,1
8,-0.5779103,1.0,57.986046,-0.96565473,16.365934,0
9,-2.2696145,0.0,0.5924674,0.21442129,1.5568902,0
10,-0.53728276,1.0,86.34056,-0.90351117,61.0562,0
11,1.4858288,0.0,69.18398,-2.429261,4.595602,0
12,-2.1271565,1.0,0.01280731,-2.310669,1.4111919,0
13,-1.7594086,0.0,0.69898087,-2.8067274,0.9957706,0
14,-3.8582153,0.0,0.0,-2.90578,120.24385,0
15,1.0215446,0.0,0.0,-2.5343633,18.638594,0
16,-0.099172905,0.0,150.27623,-2.460993,11.056968,0
17,-2.1974201,0.0,0.0,2.5095227,0.9430195,0
18,1.06059,1.0,0.0,-1.7047052,12.14218,0
19,2.2382424,0.0,2.4681315,2.5980165,1.6546909,0
20,-5.020353,0.0,0.0,2.5112371,0.49132925,0
21,-2.1635087,0.0,0.0,-2.5986667,0.9214716,0
22,-1.547698,0.0,0.0,2.214003,1.8080792,0
23,2.0035357,0.0,0.6517414,2.5519757,2.3706377,0
24,-2.1716964,0.0,1.7734563,1.8317901,0.7366693,0
25,1.3660312,0.0,46.753277,2.1545863,2.5312355,0
26,-0.24039507,1.0,0.0,-0.20595881,73.543236,1
27,0.73201394,1.0,15.760588,-1.807898,38.864555,0
28,1.9502741,0.0,12.963518,-1.5491643,1.2672962,0
29,-1.8552623,0.0,0.5842647,0.80321115,1.0256567,0
30,1.5232562,0.0,10.924227,2.7239714,2.4089816,0
31,2.4187868,0.0,0.0,2.7549171,6.015466,0
32,-1.9337928,0.0,0.5779514,-0.34623587,1.0074229,0
33,-0.2748798,0.0,3.9900558,-2.3470786,4.212855,0
34,-1.5481408,0.0,1.2066664,-0.397899,2.23332,0
35,-1.9902492,0.0,2.3644652,-2.5530884,2.1776285,0
36,0.27341384,1.0,60.61274,-0.40991277,7.586881,0
37,1.8247017,0.0,1.7971373,-0.8985817,1.1763684,0
38,-2.4263353,0.0,0.7833024,-1.7257773,0.66608614,0
39,1.450941,1.0,67.27691,-0.10594673,13.66123,0
40,-1.3960574,0.0,0.0,-2.3885274,0.5085187,0
41,-0.20550455,0.0,9.960662,-2.9791157,19.703297,0
42,-0.6592745,0.0,7.2645144,1.5210617,63.283043,0
43,2.0654519,0.0,6.9336095,3.1223588,1.572213,0
44,-0.73333,1.0,38.61477,-0.79345536,11.516902,0
45,2.2779093,0.0,0.0,-1.358864,1.9253005,0
46,2.3221037,1.0,1.6491917,0.19533737,1.9820703,0
47,-2.1491923,0.0,0.0,-0.55185574,2.173004,0
48,1.5157938,0.0,35.49789,-2.4254115,1.7572763,0
49,-1.6561509,0.0,0.0,2.07099,1.5503107,0
50,1.7923099,0.0,73.742004,2.7469876,2.0187771,0
51,-0.6836489,1.0,0.42796934,1.3725175,4.7309556,0
52,1.0379717,0.0,0.6924334,-1.2201564,18.946018,0
53,-2.293996,0.0,0.348776,2.455426,1.4455448,0
54,-0.052068897,0.0,84.35539,-2.5431657,14.311288,0
55,-1.8442426,0.0,0.0,1.943355,0.9397455,0
56,1.99096,0.0,4.430355,2.8600802,1.646594,0
57,1.4864601,0.0,3.6233568,2.158126,1.4179504,0
58,-0.9925438,1.0,92.53426,-2.6567302,13.875904,0
59,-1.094798,0.0,0.669262,-0.97891825,4.398054,0
60,0.86616594,1.0,51.605133,-1.9996614,17.865782,0
61,-0.6441585,1.0,23.887651,2.8174388,4.1261635,0
62,0.59279096,1.0,128.36768,2.9668531,8.279329,0
63,1.8779585,0.0,3.3692856,-1.3578414,0.8856926,0
64,0.7304309,1.0,0.5890386,2.8268754,15.572366,0
65,1.81973,0.0,0.44500375,2.9087062,1.0692445,0
66,1.769802,0.0,0.0,-0.57102084,1.2252228,0
67,-0.15185754,0.0,248.9665,-0.8964361,31.671164,0
68,-1.968948,0.0,0.21694337,-1.0014597,1.305714,0
69,2.2188067,0.0,1.0673603,-2.8886616,1392.0455,0
70,1.470881,1.0,0.0,1.4472436,7.5287023,0
71,-0.96897775,1.0,20.705078,0.8684755,29.315561,0
72,0.49979773,0.0,56.35822,-2.404312,11.521912,0
73,2.34293,0.0,1.5169765,-3.017539,1.349417,0
74,1.9995085,0.0,1.0023069,-1.7072387,3.0805123,0
75,2.2711906,0.0,5.365022,2.8316038,0.77872896,0
76,-1.9978944,0.0,2.1455855,-2.2948308,1.0167276,0
77,-1.9338317,0.0,0.43241248,0.14512275,2.3632967,0
78,2.2914078,0.0,0.0,-2.2053592,0.73942786,0
79,1.8147581,0.0,2.405399,0.66159827,0.88392,0
80,1.523578,1.0,0.757036,-0.11668572,71.57664,1
81,-1.6112387,0.0,1.1909559,-2.0373204,1.2722886,0
82,2.027122,0.0,0.0,-0.35837185,1.274642,0
83,-0.063638635,0.0,53.54616,-2.0251884,47.631172,0
84,0.6490669,0.0,211.76675,-2.174298,9.069535,0
85,0.32310942,1.0,31.862959,3.0002842,50.702522,0
86,1.50141,0.0,0.0,0.55595344,2.6611137,0
87,-2.026431,1.0,1.8173301,0.7553963,8.887883,0
